Date,Price,Open,High,Low,Vol.,Change %
9/4/2015,96.525,96.68,96.895,95.81,5.37K,-0.19%
9/3/2015,96.706,96.3,96.92,96.07,4.10K,0.60%
9/2/2015,96.127,95.74,96.24,95.74,2.27K,0.42%
9/1/2015,95.729,96.16,96.16,95.5,3.06K,-0.42%
8/31/2015,96.135,96.42,96.55,95.925,2.07K,-0.28%
8/28/2015,96.408,96.1,96.635,95.69,2.50K,0.46%
8/27/2015,95.97,95.505,96.375,95.355,2.63K,0.55%
8/26/2015,95.446,94.105,95.8,94.045,2.96K,0.61%
8/25/2015,94.869,93.88,95.04,93.83,5.09K,1.27%
8/24/2015,93.676,95.235,95.27,92.85,7.13K,-1.74%
8/21/2015,95.33,96.125,96.125,95.15,2.29K,-1.03%
8/20/2015,96.325,96.805,96.9,96.035,1.86K,-0.37%
8/19/2015,96.687,97.265,97.4,96.67,0.97K,-0.72%
8/18/2015,97.388,97.2,97.4,97.06,0.48K,0.26%
8/17/2015,97.135,96.885,97.28,96.86,0.65K,0.29%
8/14/2015,96.853,96.655,97.005,96.445,3.25K,0.08%
8/13/2015,96.774,96.69,97.13,96.475,0.89K,0.17%
8/12/2015,96.61,97.495,97.7,96.275,2.59K,-1.08%
8/11/2015,97.663,97.54,97.925,97.25,1.41K,0.15%
8/10/2015,97.517,97.985,98.295,97.4,1.31K,-0.44%
8/7/2015,97.949,98.215,98.74,97.65,1.08K,-0.29%
8/6/2015,98.229,98.29,98.585,98.1,0.56K,-0.13%
8/5/2015,98.358,98.415,98.63,98.015,0.86K,0.01%
8/4/2015,98.344,97.945,98.42,97.635,0.40K,0.41%
8/3/2015,97.941,97.67,98.035,97.615,0.68K,0.18%
7/31/2015,97.761,97.79,98.01,96.72,1.14K,-0.24%
7/30/2015,97.999,97.64,98.2,97.6,0.39K,0.61%
7/29/2015,97.402,97.035,97.69,96.915,0.38K,0.22%
7/28/2015,97.186,96.97,97.4,96.895,0.42K,0.26%
7/27/2015,96.938,97.705,97.72,96.71,0.93K,-0.74%
7/24/2015,97.664,97.6,98.035,97.57,0.45K,0.13%
7/23/2015,97.539,97.925,97.925,97.115,0.97K,-0.51%
7/22/2015,98.04,97.775,98.225,97.54,0.47K,0.31%
7/21/2015,97.741,98.49,98.62,97.555,0.66K,-0.75%
7/20/2015,98.476,98.375,98.585,98.205,0.47K,0.15%
7/17/2015,98.329,98.155,98.445,97.88,0.37K,0.19%
7/16/2015,98.144,97.735,98.23,97.69,0.73K,0.54%
7/15/2015,97.617,97.205,97.765,97.03,0.42K,0.51%
7/14/2015,97.122,97.42,97.52,96.765,0.45K,-0.22%
7/13/2015,97.338,96.5,97.37,96.1,0.57K,0.85%
7/10/2015,96.522,96.89,96.9,95.945,0.68K,-0.65%
7/9/2015,97.153,96.785,97.3,96.555,0.30K,0.32%
7/8/2015,96.842,97.3,97.45,96.665,0.67K,-0.61%
7/7/2015,97.441,96.9,97.82,96.86,0.80K,0.63%
7/6/2015,96.832,96.98,97.21,96.585,0.25K,0.17%
